keys,en
Text/201/text,"Sorry I don't think this will work, I will end this conversation now."
Text/202/text,"Goodbye! 

Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/203/text,Too excited
Choice/203/disabled_text,
Text/204/text,"Oh you're right. Sorry, I got excited by the possibility that we might share careers that I skipped it."
Text/205/text,I understand
Text/206/text,"but I am a little too nervous to continue this conversation now, sorry and goodbye."
Text/207/text,Khanh Cá Trê Head Advertising Manager
Text/208/text,"Team A, B, C"
Choice/209/text,"Yes, but..."
Choice/209/disabled_text,
Text/20a/text,Yea but the watermark? I thought you were roleplaying or something...
Text/20b/text,I am not.
Text/20c/text,"Uh, sorry. I will end this conversation now."
Text/20d/text,"Goodbye 

Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/20e/text,"Sorry, nerves"
Choice/20e/disabled_text,
Text/20f/text,"Sorry, I am not always the best at conversations and your biography was impressive so I was not expecting a match."
Text/210/text,"I have a typical kitchen job, not very interesting."
Text/211/text,"Don't put yourself down, I definitely understand being nervous or self concious..."
Text/212/text,trust me.
Text/213/text,Do you think someone has to be impressive to meet someone...?
Text/214/text,"Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/215/text,It helps
Choice/215/disabled_text,
Text/216/text,"I think it definitely helps, isn't it natural for people to want someone impressive?"
Text/217/text,That's why I get nervous...
Text/218/text,"Oh, well if you feel that way then I don't think we will work out..."
Text/219/text,Sorry... I will end this conversation now.
Text/21a/text,"Goodbye 

Khanh Cá Trê, Head Advertising Manager Team A, B,"
Choice/21b/text,No!
Choice/21b/disabled_text,
Text/21c/text,"No, that's why I am still trying despite the fact that I am not showing my face..."
Text/21d/text,That's great... I... I want to live up to that! Let's meet up at the local comic shop and we can talk some more about it...
Text/21e/text,"Just don't be too shocked! 

Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/21f/text,Of course
Choice/21f/disabled_text,
Text/220/text,"Yes, I don't expect many matches because of it, but you surely don't relate to that like you say"
Text/221/text,"Oh, well I don't think you should feel that bad about yourself... but now I feel like I will disappoint you."
Text/222/text,"I should end this. Goodbye 

Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/223/text,Pretty man
Choice/223/disabled_text,
Text/224/text,You're pretty... Isn't that what matters? I work as a
Text/225/text,Fisherman... or something like that
Text/226/text,...Or something like that? That doesn't seem very honest or like you care much...
Text/227/text,"Do you not know what you do? 

Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/228/text,Liars together
Choice/228/disabled_text,
Text/229/text,"Well, we're both not being honest right? What does it matter what I do?"
Text/22a/text,"This conversation is off putting, you shouldn't mess with people like this, goodbye."
Choice/22b/text,You wouldn’t get it
Choice/22b/disabled_text,
Text/22c/text,"I didn't mean to come off that way, my job title is just sort of unstable."
Text/22d/text,That was just embarrassing to say. You're so cool you probably don't understand
Text/22e/text,Don't be embarrassed... Your job being unstable isn't your fault...
Text/22f/text,"Sorry, now I am too nervous I will disappoint you. Goodbye."
Text/230/text,"Khanh Cá Trê, Head Advertising Manager Team A, B, C"
Choice/231/text,Nevermind.
Choice/231/disabled_text,
Text/232/text,"Yea, I just looked at your profile again and I saw the watermark so I lost interest to be honest..."
Text/233/text,That's not even you. Bummer.
Text/234/text,Yes it is!
Text/235/text,"But well, that doesn't leave much room for more conversation, does it? I will end it now."
Text/236/text,"Goodbye. 

Khanh Cá Trê, Head Advertising Manager Team A, B, C"
