keys,en
Text/dd/text,You’re not the one for me!🥀
Text/de/text,Sea ya~!
Choice/df/text,Homebody
Choice/df/disabled_text,
Text/e0/text,"My social battery is kind of shit tbh, so I'm more of a homebody."
Text/e1/text,"I prefer to do things that keep me inside, away from people... Maybe we could do that together?"
Text/e2/text,Oh
Text/e3/text,That sounds very... chill🧊.
Text/e4/text,You might have missed it but I don't really do... that.
Text/e5/text,You’re not the one for me! 🥀🥀
Text/e6/text,Sea Ya!
Choice/e7/text,I’m shy
Choice/e7/disabled_text,
Text/e8/text,I don't want strangers to look at me...
Text/e9/text,I'm shy.
Text/ea/text,What if they think I'm ugly...?
Text/eb/text,Confidence is key!! 💪
Text/ec/text,No one can decide you're ugly except you!
Text/ed/text,How often do you go out? With you being shy...
Choice/ee/text,Skiing
Choice/ee/disabled_text,
Text/ef/text,I actually like skiing!
Text/f0/text,It can get intense but being out in the snow is so fun even when it gets risky.
Text/f1/text,Woah!!
Text/f2/text,Maybe you are shy but you sound so so cool!
Text/f3/text,You should tell me more about it!
Text/f4/text,Tonite!!
Choice/f5/text,Here and there
Choice/f5/disabled_text,
Text/f6/text,I go out here and there
Text/f7/text,To house parties or small gatherings
Text/f8/text,Definitely nothing more intense than that
Text/f9/text,That's kinda cool...
Text/fa/text,Not really my style tho
Text/fb/text,kinda like you!
Text/fc/text,You’re not the one for me.🥀
Text/fd/text,Sea ya!
Choice/fe/text,Not much...
Choice/fe/disabled_text,
Text/ff/text,"Not much, I prefer to do as little as possible to not get my heart stressing..."
Text/100/text,A chef that can't handle the heat🔥 of the kitchen?
Text/101/text,That's so disappointing😒👎
Text/102/text,You’re not the one for me.🥀
Text/103/text,Sea ya!
Choice/104/text,Grocery store
Choice/104/disabled_text,
Text/105/text,"I work at a grocery store, it's just to carry me until I can start my forever career soon."
Text/106/text,I've been there!🤝
Text/107/text,"It can totally feel hard to start but once you do, you better grind"
Text/108/text,ill you're at the top!
Text/109/text,Hopefully you start soon...
Text/10a/text,What's your dream career?
Choice/10b/text,Business owner
Choice/10b/disabled_text,
Text/10c/text,"I love working, I would like something that challenges me daily so that I feel like I always have something to overcome!"
Text/10d/text,I'd love to start my own business
Text/10e/text,Wow!
Text/10f/text,Respect that 💯%
Text/110/text,"You will totally get there, trust!"
Text/111/text,What do you do for fun when you're not preparing to be a big shot? 😎
Choice/112/text,Social events
Choice/112/disabled_text,
Text/113/text,"I like to go to social events, both for people looking to make connections and ones for fun!"
Text/114/text,"Hey hey, you're totally like me! Once you're a boss, you're going far!"
Text/115/text,Let's meet up!
Text/116/text,Tonite!!!
Choice/117/text,Walks around town
Choice/117/disabled_text,
Text/118/text,I enjoy walking the town
Text/119/text,Spending time just taking things in and decompressing
Text/11a/text,It is my favorite past time for sure
Text/11b/text,We seem to have a similar drive but don't click anywhere else😩😭
Text/11c/text,You’re not the one for me! Sea ya!
Choice/11d/text,Relax at home
Choice/11d/disabled_text,
Text/11e/text,I stay home and relax
Text/11f/text,"I think any time I'm not working, I take the opportunity to rest..."
Text/120/text,You'll make a good business owner but I need someone who is also the life of the party!🎉
Text/121/text,You aren't the one for me! 🥀🥀
Text/122/text,Sea ya!
Choice/123/text,Anything
Choice/123/disabled_text,
Text/124/text,"Work is work, doesn't really matter if I'm the boss or the employee as long as I get paid"
Text/125/text,"I guess,,,"
Text/126/text,Being so apathetic to your role doesn't seem like a career oriented move...🫤❓
Text/127/text,"Well, what you do for fun?"
Text/128/text,Maybe your energy is directed elsewhere!
Choice/129/text,Sports
Choice/129/disabled_text,
Text/12a/text,"I love intense sports, things outside work must be wild and get my blood running!"
Text/12b/text,"You seem fun outside of work, but I'd like someone that can totally ♊match♊ me in all aspects"
Text/12c/text,This isn't going to work! You’re not the one for me!🥀
Text/12d/text,Sea ya!
Choice/12e/text,Little of everything
Choice/12e/disabled_text,
Text/12f/text,A little big of everything I suppose... running... swimming
Text/130/text,You don't know yourself and I want someone like that to get to know me??
Text/131/text,I don’t even think you can.
Text/132/text,You are not the one for me!🥀
Text/133/text,Sea ya!
Choice/134/text,Reading
Choice/134/disabled_text,
Text/135/text,"I mostly read and stay home, I prefer quiet spaces"
Text/136/text,LOVE someone with knowledge🤓!!!
Text/137/text,But we don't seem to match anywhere🙁🙁 !
Text/138/text,"You are not the one for me🥀, sea ya!"
Choice/139/text,Not sure...
Choice/139/disabled_text,
Text/13a/text,"I don't know, hopefully something where I don't have to speak to people often..."
Text/13b/text,I would rather get to hide in the back and not be there for long
Text/13c/text,You seem to not have a lot of confidence...
Text/13d/text,What are your hobbies?
Text/13e/text,You must do something for fun!
Choice/13f/text,Thrill seeking
Choice/13f/disabled_text,
Text/140/text,"I enjoy amusement parks, I specifically travel to places with wild coasters!"
Text/141/text,That sounds so fun!
Text/142/text,"Not exactly my idea of a good time however, soz!"
Text/143/text,You're not the one for me.🥀 Sea Ya!
Choice/144/text,Running
Choice/144/disabled_text,
Text/145/text,"I like going on runs, it gets the blood running without too much other types of intensity"
Text/146/text,We both love to feel our blood pumping but not even in the same way.
Text/147/text,We don't match at all. 🥀🥀
Text/148/text,You're not the one for me! Sea Ya!
Choice/149/text,I do but...
Choice/149/disabled_text,
Text/14a/text,I don't like going out...
Text/14b/text,My hobbies have big communities online and I'm still too scared to participate  in that honestly
Text/14c/text,You clearly need a confidence boost...
Text/14d/text,"However, I'd prefer someone already stable."
Text/14e/text,You are not the one for me!🥀 Sea Ya!
Choice/14f/text,Unemployed
Choice/14f/disabled_text,
Text/150/text,I'm unemployed...
Text/151/text,Not really looking for a job at the moment... It'll come when it comes.
Text/152/text,Yikes! 😬
Text/153/text,That's not great mentality!
Text/154/text,What do you do in your free time? 🤔
Text/155/text,I'm sure you have a lot of it!
Choice/156/text,Party
Choice/156/disabled_text,
Text/157/text,I love to party!
Text/158/text,I love being the center of attention and the life of the room
Text/159/text,"Well, we have that in common!"
Text/15a/text,I love a good party! What's your favorite kind of party scene?
Choice/15b/text,Loud Party
Choice/15b/disabled_text,
Text/15c/text,A loud party! Either music or chatting.
Text/15d/text,I enjoy when everyone can sing to the music and dance together!
Text/15e/text,"Well, you need to get your motivation to thrive in the work place, but at least we could have a blast together!"
Text/15f/text,Let's meet tonite!
Choice/160/text,Chatty Party
Choice/160/disabled_text,
Text/161/text,"Something for chatting, like a dinner party where everyone can listen to me speak."
Text/162/text,Preferably it ends early too.
Text/163/text,We both enjoy to socialize our vibes are too different.
Text/164/text,You're not the one for me!🥀
Text/165/text,Sea ya!
Choice/166/text,Dj Booth
Choice/166/disabled_text,
Text/167/text,I enjoy the party from the DJ booth so I don't have to dance! Everyone can listen to my tunes instead
Text/168/text,The 🎧DJ🎶 carries the party but I need someone who can take me to the dance floor! What’s a party without some?!
Text/169/text,"You're not the one for me🥀, sea ya!"
Choice/16a/text,Relaxing vibes
Choice/16a/disabled_text,
Text/16b/text,"I like going out once in a while, no parties or crowded spaces regularly thoug"
Text/16c/text,"I love going out! We don't have the same taste though, what a shame..."
Text/16d/text,"Well, what kind of music do you play at your party?"
Choice/16e/text,Something with rhythm
Choice/16e/disabled_text,
Text/16f/text,Something fun and with a good vibe but never loud enough that we can't sit and chat
Text/170/text,That sounds like a vibe but not like mine🫤🫤
Text/171/text,It's too bad. You're not the one for me!🥀 Sea ya!
Choice/172/text,Indie artists
Choice/172/disabled_text,
Text/173/text,"I like niche music most people don't know, I don’t let others choose, honestly."
Text/174/text,"I love showing everyone good new music they've never heard of, nothing mainstream"
Text/175/text,"That's interesting but if I can't put in a request, it doesn't sound like my space."
Text/176/text,You're not the one for me!🥀 Sea ya!
Choice/177/text,Soft Vibes
Choice/177/disabled_text,
Text/178/text,"Soft music, I like relaxing vibes for my gatherings because then what everyone remembers is my stories!"
Text/179/text,I'm glad you've found your stage but I don't feel like watching a play at a party...🥱🥱
Text/17a/text,You're not the one for me!🥀 Sea ya!
Choice/17b/text,Stay home
Choice/17b/disabled_text,
Text/17c/text,"I like staying home and having fun indoors, I love a good board game!"
Text/17d/text,Board games are not my style unfortunately..
Text/17e/text,Although I dominate at Fishopoly when I do play of course! 💪🥇
Text/17f/text,What music do you listen to when at home?
Choice/180/text,To sing to
Choice/180/disabled_text,
Text/181/text,"I love loud music with a good beat, I adore singing to myself"
Text/182/text,"It's great that we have the same music taste, but everything else doesn't sit right with me...🤔"
Text/183/text,"You're not the one for me🥀, sea ya!"
Choice/184/text,Lo-fi
Choice/184/disabled_text,
Text/185/text,Lo-fi music. I don't think music should be too loud...
Text/186/text,"We don't match at all, not even in what we listen to."
Text/187/text,"I don’t think we could have fun together, why did you😕?"
Text/188/text,You’re not the one for me!🥀 Sea ya!
Choice/189/text,No vocals
Choice/189/disabled_text,
Text/18a/text,Classical only. I think every other kind of music is scary... Too many strangers singing
Text/18b/text,"Scared of a singer? Timid as can be huh? I feel like if I got even a bit excited, I would definitely scare you off.. 🙊🙊"
Text/18c/text,Not sure why you thought we would match…
Text/18d/text,You're not the one for me!🥀 Sea ya!
